questions,answers,category,disease
I have high fever and body ache,"High fever with body ache could indicate flu or viral infection. Take rest, drink plenty of fluids, and take paracetamol for fever. If fever persists for more than 3 days or goes above 103°F, consult a doctor immediately.",symptoms,Fever
What should I do for fever,"For fever: Rest well, drink plenty of water and fluids, take paracetamol as per dosage, use cold compress on forehead, wear light clothing. Monitor temperature every 4-6 hours. Consult doctor if fever exceeds 103°F or lasts more than 3 days.",treatment,Fever
How to reduce fever naturally,"Natural remedies for fever: Stay hydrated, take lukewarm bath, use cold compress, drink herbal teas, get adequate rest, eat light foods. However, if fever is high or persistent, medical consultation is necessary.",treatment,Fever
I have cold and cough,"Cold and cough are usually viral infections. Drink warm water, take steam inhalation 2-3 times daily, have honey with warm water, avoid cold foods and drinks. If symptoms persist for more than a week or breathing difficulty occurs, consult a doctor.",symptoms,Cold
Home remedies for cough,"For cough relief: Drink warm water with honey, take steam inhalation, gargle with salt water, drink ginger tea, avoid cold and oily foods, stay hydrated. If cough is severe or has blood, seek immediate medical attention.",treatment,Cough
Best medicine for cold,"For cold: Rest, stay hydrated, use saline nasal drops, take steam inhalation. Over-the-counter medicines like paracetamol can help with symptoms. Antibiotics are NOT needed for viral cold. Consult doctor if symptoms worsen or last more than 10 days.",treatment,Cold
I have severe headache,"Severe headache can have various causes. Rest in a quiet, dark room, apply cold compress on forehead, stay hydrated, take prescribed pain relief medication. If headache is sudden and severe, accompanied by vision problems, confusion, or stiff neck, seek emergency care immediately.",symptoms,Headache
What causes headache,"Common headache causes include: stress, dehydration, lack of sleep, eye strain, skipping meals, caffeine withdrawal, sinus problems. Serious causes include migraine, high blood pressure, infections. Regular severe headaches need medical evaluation.",information,Headache
I have stomach pain and diarrhea,"Stomach pain with diarrhea suggests gastroenteritis or food poisoning. Stay hydrated with ORS, eat bland foods like rice and banana, avoid spicy and oily foods. If you notice blood in stools, severe dehydration, or pain persists for more than 24 hours, consult a doctor.",symptoms,Gastroenteritis
Treatment for stomach pain,"For stomach pain: Avoid solid foods for few hours, drink clear fluids, avoid spicy and oily foods, take antacids if needed. If pain is severe, accompanied by fever, vomiting blood, or lasts more than 24 hours, seek medical help immediately.",treatment,Gastroenteritis
What are symptoms of diabetes,"Common diabetes symptoms include: frequent urination, excessive thirst, unexplained weight loss, increased hunger, blurred vision, slow healing wounds, frequent infections, and fatigue. If you experience these symptoms, get your blood sugar tested and consult a doctor.",information,Diabetes
How to control diabetes,"Diabetes management: Monitor blood sugar regularly, take prescribed medications, follow diabetic diet (low sugar, high fiber), exercise 30 minutes daily, maintain healthy weight, regular health checkups, manage stress, avoid smoking and alcohol.",prevention,Diabetes
What is high blood pressure,"High blood pressure (hypertension) is when blood pressure consistently exceeds 140/90 mmHg. Often called silent killer as it has few symptoms. Can cause headaches, shortness of breath, nosebleeds in severe cases. Regular monitoring, low salt diet, exercise, and prescribed medication help manage it.",information,Hypertension
How to reduce blood pressure,"To reduce blood pressure: Reduce salt intake, eat potassium-rich foods, exercise regularly, maintain healthy weight, limit alcohol, quit smoking, manage stress, take prescribed medications regularly, monitor BP at home.",prevention,Hypertension
I have breathing difficulty,"Breathing difficulty requires immediate attention. Sit upright, take slow deep breaths, use prescribed inhaler if you have asthma. If breathing difficulty is severe, accompanied by chest pain, bluish lips, or confusion, call emergency services (108) immediately.",emergency,Asthma
What is asthma,"Asthma is a chronic condition affecting airways, causing breathing difficulty, wheezing, chest tightness, and coughing. Triggered by allergens, exercise, cold air, or stress. Managed with inhalers, avoiding triggers, and regular doctor visits.",information,Asthma
I have chest pain,"⚠️ EMERGENCY! Chest pain can be serious. If pain is severe, radiating to arm/jaw, with sweating, nausea, or shortness of breath, call 108 immediately as it could be heart attack. For mild chest pain due to acidity or muscle strain, rest and take antacid, but consult doctor for proper diagnosis.",emergency,Cardiac
